password,length,has_lower,has_upper,has_digit,has_symbol,unique_ratio,longest_run,has_year_like,has_common_word,has_keyboard_walk,has_sequential_digits,entropy_bits,strength_score,label
poiVgRV5,8,1,1,1,0,0.875,1,0,0,0,0,47.634,47.634,Medium
Adam1992,8,1,1,1,0,0.875,2,1,0,0,0,47.634,37.634,Medium
monkey3257,10,1,0,1,0,1.0,1,0,1,0,0,51.699,33.699,Weak
CLrZ3aWZkSBv,12,1,1,1,0,0.9167,1,0,0,0,0,71.45,71.45,Strong
qwerty,6,1,0,0,0,1.0,1,0,1,1,0,28.203,2.203,Weak
1234565881,10,0,0,1,0,0.7,2,0,1,1,1,33.219,0.0,Weak
Ih7yfJs1,8,1,1,1,0,1.0,1,0,0,0,0,47.634,47.634,Medium
TecQoXsf2o,10,1,1,1,0,0.9,1,0,0,0,0,59.542,59.542,Medium
"J6:UuVTA/I,j]:v&Fu",18,1,1,1,1,0.8889,1,0,0,0,0,117.983,117.983,Strong
omar2025!,9,1,0,1,1,0.8889,1,1,0,0,0,54.787,44.787,Medium
eOZIiB+O,8,1,1,0,1,0.875,1,0,0,0,0,51.139,51.139,Medium
welcome7517,11,1,0,1,0,0.8182,1,0,1,0,0,56.869,38.869,Medium
qwerty,6,1,0,0,0,1.0,1,0,1,1,0,28.203,2.203,Weak
Adam2015@,9,1,1,1,1,1.0,1,1,0,0,0,58.991,48.991,Medium
@lgot;u2[iXW[7^G(bo&,20,1,1,1,1,0.9,1,0,0,0,0,131.092,131.092,Strong
3u6aH#w#nM,10,1,1,1,1,0.9,1,0,0,0,0,65.546,65.546,Medium
jxWkI9X7H6aM,12,1,1,1,0,1.0,1,0,0,0,0,71.45,71.45,Strong
password5947,12,1,0,1,0,0.9167,2,0,1,0,0,62.039,44.039,Medium
qwerty,6,1,0,0,0,1.0,1,0,1,1,0,28.203,2.203,Weak
!i&qq?8(vH^]2,13,1,1,1,1,0.9231,2,0,0,0,0,85.21,85.21,Strong
zNZ/.V4%5pFCiRc=(D=C,20,1,1,1,1,0.9,1,0,0,0,0,131.092,131.092,Strong
football,8,1,0,0,0,0.75,2,0,1,0,0,37.604,19.604,Weak
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
qwerty7953,10,1,0,1,0,1.0,1,0,1,1,0,51.699,25.699,Weak
Noor2005123,11,1,1,1,0,0.7273,2,1,0,0,0,65.496,55.496,Medium
Mohamed199612,13,1,1,1,0,0.8462,2,1,0,0,0,77.405,67.405,Medium
noor199312,10,1,0,1,0,0.7,2,1,0,0,0,51.699,41.699,Medium
vZ3gpmmI,8,1,1,1,0,0.875,2,0,0,0,0,47.634,47.634,Medium
Adam2001@,9,1,1,1,1,0.8889,2,1,0,0,0,58.991,48.991,Medium
4(mg.*blEv0!9,13,1,1,1,1,1.0,1,0,0,0,0,85.21,85.21,Strong
iloveyou,8,1,0,0,0,0.875,1,0,1,0,0,37.604,19.604,Weak
password,8,1,0,0,0,0.875,2,0,1,0,0,37.604,19.604,Weak
welcome9105,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
Bh*hOhg9#,9,1,1,1,1,0.7778,1,0,0,0,0,58.991,58.991,Medium
uh$kxi[i|EZp_F-[f}k1,20,1,1,1,1,0.85,1,0,0,0,0,131.092,131.092,Strong
7qnQTupqziQP,12,1,1,1,0,0.8333,1,0,0,0,0,71.45,71.45,Strong
admin,5,1,0,0,0,1.0,1,0,1,0,0,23.502,5.502,Weak
6}_mj&B#HqSi,12,1,1,1,1,1.0,1,0,0,0,0,78.655,78.655,Strong
Ku4*M{.^b/(M?nrHo,17,1,1,1,1,0.9412,1,0,0,0,0,111.428,111.428,Strong
tIK]ARA:H#!Ggl:2JfaQ,20,1,1,1,1,0.9,1,0,0,0,0,131.092,131.092,Strong
4_2-bojt*e,10,1,0,1,1,1.0,1,0,0,0,0,60.875,60.875,Medium
Bictx57Y3c5w,12,1,1,1,0,0.8333,1,0,0,0,0,71.45,71.45,Strong
qwerty,6,1,0,0,0,1.0,1,0,1,1,0,28.203,2.203,Weak
adam1999!,9,1,0,1,1,0.6667,3,1,0,0,0,54.787,38.787,Medium
0dwQ0/FIunWe8C,14,1,1,1,1,0.9286,1,0,0,0,0,91.764,91.764,Strong
welcome3728,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
qwerty4564,10,1,0,1,0,0.9,1,0,1,1,0,51.699,25.699,Weak
"S,$Z|&QdoHw-Hen6",16,1,1,1,1,0.9375,1,0,0,0,0,104.873,104.873,Strong
admin8379,9,1,0,1,0,1.0,1,0,1,0,0,46.529,28.529,Weak
maya2006,8,1,0,1,0,0.75,2,1,0,0,0,41.359,31.359,Weak
letmein,7,1,0,0,0,0.8571,1,0,1,0,0,32.903,14.903,Weak
U3i/Q}O?pM#N/0P,15,1,1,1,1,0.9333,1,0,0,0,0,98.319,98.319,Strong
Omar2025!,9,1,1,1,1,0.8889,1,1,0,0,0,58.991,48.991,Medium
5lNKtzJ1ats,11,1,1,1,0,0.9091,1,0,0,0,0,65.496,65.496,Medium
monkey,6,1,0,0,0,1.0,1,0,1,0,0,28.203,10.203,Weak
welcome3501,11,1,0,1,0,0.9091,1,0,1,0,0,56.869,38.869,Medium
sara1995@,9,1,0,1,1,0.7778,2,1,0,0,0,54.787,44.787,Medium
ENCzsdfF8j,10,1,1,1,0,1.0,1,0,0,0,0,59.542,59.542,Medium
Maya2014#,9,1,1,1,1,0.8889,1,1,0,0,0,58.991,48.991,Medium
football1746,12,1,0,1,0,0.8333,2,0,1,0,0,62.039,44.039,Medium
football0822,12,1,0,1,0,0.75,2,0,1,0,0,62.039,44.039,Medium
1234567612,10,0,0,1,0,0.7,1,0,1,1,1,33.219,0.0,Weak
lina20181,9,1,0,1,0,0.8889,1,1,0,0,0,46.529,36.529,Medium
